"Name","Runtime","Notes","Tags","C","class_weight","max_iter","accuracy","f1_score","precision","recall"
"glorious-sweep-12","6","-","","2","balanced","300","0.954","0.9532074227842138","0.9544042633889596","0.954"
"dazzling-sweep-11","6","-","","2","balanced","100","0.954","0.9532074227842138","0.9544042633889596","0.954"
"youthful-sweep-10","5","-","","2","","300","0.954","0.9527660566818276","0.9557234935838472","0.954"
"giddy-sweep-9","5","-","","2","","100","0.954","0.9527660566818276","0.9557234935838472","0.954"
"hearty-sweep-8","5","-","","1","balanced","300","0.944","0.9436437585541192","0.944215855276894","0.944"
"toasty-sweep-7","5","-","","1","balanced","100","0.944","0.9436437585541192","0.944215855276894","0.944"
"devout-sweep-6","4","-","","1","","300","0.946","0.944407423189476","0.9473403249075982","0.946"
"brisk-sweep-5","5","-","","1","","100","0.946","0.944407423189476","0.9473403249075982","0.946"
"swift-sweep-4","5","-","","0.5","balanced","300","0.934","0.9339313532498354","0.935039923526626","0.934"
"fearless-sweep-3","5","-","","0.5","balanced","100","0.934","0.9339313532498354","0.935039923526626","0.934"
"kind-sweep-2","5","-","","0.5","","300","0.94","0.9385411410345942","0.9418579331676674","0.94"
"neat-sweep-1","5","-","","0.5","","100","0.94","0.9385411410345942","0.9418579331676674","0.94"